A;097;20020102 12:34;PTHIRLWELL;
B;097;999335;1;20020102 12:34;;;69;RIDGE AVE;MALUA BAY;2536;2.524;H;20010927;20011126;310000;R;R;RESIDENCE;;LT;;;8175944;
C;097;999335;1;20020102 12:34;17//253096;
D;097;999335;1;20020102 12:34;P;;;;;;
D;097;999335;1;20020102 12:34;P;;;;;;
D;097;999335;1;20020102 12:34;V;;;;;;
B;097;999375;2;20020102 12:34;;;1;TOWRANG AVE;SURF BEACH;2536;5628;M;20010810;20010925;106000;R;V;VACANT LAND;;LT;;;8163681;
C;097;999375;2;20020102 12:34;33//805412;
D;097;999375;2;20020102 12:34;P;;;;;;
D;097;999375;2;20020102 12:34;V;;;;;;
D;097;999375;2;20020102 12:34;V;;;;;;
D;097;999375;2;20020102 12:34;V;;;;;;
B;097;999540;3;20020102 12:34;;;4;BARBARA CRES;DENHAMS BEACH;2536;796.7;M;20011018;20011129;265000;A;R;RESIDENCE;;YG;;;8176753;
C;097;999540;3;20020102 12:34;33//31959;
D;097;999540;3;20020102 12:34;P;;;;;;
D;097;999540;3;20020102 12:34;P;;;;;;
D;097;999540;3;20020102 12:34;V;;;;;;
B;097;999580;4;20020102 12:34;;;15;BATEHAVEN RD;BATEHAVEN;2536;866.3;M;20010826;20011008;225000;A;R;RESIDENCE;;YL;;;8038267;
C;097;999580;4;20020102 12:34;18//25267;
D;097;999580;4;20020102 12:34;P;;;;;;
D;097;999580;4;20020102 12:34;P;;;;;;
D;097;999580;4;20020102 12:34;V;;;;;;
D;097;999580;4;20020102 12:34;V;;;;;;
B;097;999590;5;20020102 12:34;;1;647;BEACH RD;SURF BEACH;2536;;;20011030;20011130;86000;;3;HOME UNIT;1;;;;8188822;
C;097;999590;5;20020102 12:34;1//SP 52317;
D;097;999590;5;20020102 12:34;P;;;;;;
D;097;999590;5;20020102 12:34;V;;;;;;
D;097;999590;5;20020102 12:34;V;;;;;;
B;097;999590;6;20020102 12:34;;4;647;BEACH RD;SURF BEACH;2536;;;20011030;20011206;115000;;3;HOME UNIT;4;;;;8187106;
C;097;999590;6;20020102 12:34;4//SP 52317;
D;097;999590;6;20020102 12:34;P;;;;;;
D;097;999590;6;20020102 12:34;V;;;;;;
B;097;999715;7;20020102 12:34;;1;115;BEACH RD;BATEHAVEN;2536;;;20011101;20011130;104500;;R;RESIDENCE;1;;;;8172641;
C;097;999715;7;20020102 12:34;1//38270;
D;097;999715;7;20020102 12:34;P;;;;;;
D;097;999715;7;20020102 12:34;P;;;;;;
D;097;999715;7;20020102 12:34;V;;;;;;
B;097;999736;8;20020102 12:34;;3;47;BEACH RD;BATEMANS BAY;2536;;;20011016;20011118;78000;;R;RESIDENCE;3;;;;8156416;
C;097;999736;8;20020102 12:34;3//9462;
D;097;999736;8;20020102 12:34;P;;;;;;
D;097;999736;8;20020102 12:34;P;;;;;;
D;097;999736;8;20020102 12:34;V;;;;;;
D;097;999736;8;20020102 12:34;V;;;;;;
B;097;999736;9;20020102 12:34;;4;47;BEACH RD;BATEMANS BAY;2536;;;20011116;20011207;129000;;R;RESIDENCE;4;;;;8210700;
C;097;999736;9;20020102 12:34;4//9462;
D;097;999736;9;20020102 12:34;P;;;;;;
D;097;999736;9;20020102 12:34;P;;;;;;
D;097;999736;9;20020102 12:34;V;;;;;;
D;097;999736;9;20020102 12:34;V;;;;;;
B;097;999752;10;20020102 12:34;;;39;BEACH RD;BATEMANS BAY;2536;720.8;M;20010829;20011016;410000;A;R;RESIDENCE;;TY;;;8078442;
C;097;999752;10;20020102 12:34;13//532547;
D;097;999752;10;20020102 12:34;P;;;;;;
D;097;999752;10;20020102 12:34;V;;;;;;
D;097;999752;10;20020102 12:34;V;;;;;;
B;097;999805;11;20020102 12:34;ARGYLE TERRACE INN;;32;BEACH RD;BATEMANS BAY;2536;1556;M;20010830;20010913;1090000;A;3;MOTEL;;XM;;;8098325;
C;097;999805;11;20020102 12:34;1, 2, 3//18419;
D;097;999805;11;20020102 12:34;P;;;;;;
D;097;999805;11;20020102 12:34;P;;;;;;
D;097;999805;11;20020102 12:34;V;;;;;;
B;097;999903;12;20020102 12:34;;7;230;BEACH RD;BATEHAVEN;2536;;;20011108;20011207;132000;;R;RESIDENCE;7;;;;8208819;
C;097;999903;12;20020102 12:34;7//8675;
D;097;999903;12;20020102 12:34;P;;;;;;
D;097;999903;12;20020102 12:34;V;;;;;;
D;097;999903;12;20020102 12:34;V;;;;;;
B;097;1000038;13;20020102 12:34;;;454;BEACH RD;SUNSHINE BAY;2536;834.7;M;20011018;20011109;150000;A;R;RESIDENCE;;YJ;;;8179112;
C;097;1000038;13;20020102 12:34;1//380384;
D;097;1000038;13;20020102 12:34;P;;;;;;
D;097;1000038;13;20020102 12:34;P;;;;;;
D;097;1000038;13;20020102 12:34;V;;;;;;
B;097;1000056;14;20020102 12:34;;;494;BEACH RD;DENHAMS BEACH;2536;916.9;M;20010831;20010928;125000;A;R;RESIDENCE;;YJ;;;8077023;
C;097;1000056;14;20020102 12:34;1//23606;
D;097;1000056;14;20020102 12:34;P;;;;;;
D;097;1000056;14;20020102 12:34;P;;;;;;
D;097;1000056;14;20020102 12:34;V;;;;;;
D;097;1000056;14;20020102 12:34;V;;;;;;
B;097;1000157;15;20020102 12:34;;10;700;BEACH RD;SURF BEACH;2536;;;20011130;20011214;107500;;3;;10;;;;8209443;
C;097;1000157;15;20020102 12:34;10//18409;
D;097;1000157;15;20020102 12:34;P;;;;;;
D;097;1000157;15;20020102 12:34;P;;;;;;
D;097;1000157;15;20020102 12:34;V;;;;;;
D;097;1000157;15;20020102 12:34;V;;;;;;
