A;539;20110801 02:37;VALNET;
B;539;2934973;1;20110801 02:37;;;51;EVANS RD;GOOGONG;2620;1.046;H;20110610;20110715;420000;R;V;VACANT LAND;;QH;;0;AG392834;
C;539;2934973;1;20110801 02:37;4/270301;
D;539;2934973;1;20110801 02:37;P;;;;;;
D;539;2934973;1;20110801 02:37;P;;;;;;
D;539;2934973;1;20110801 02:37;V;;;;;;
D;539;2934973;1;20110801 02:37;V;;;;;;
B;539;2924643;2;20110801 02:37;;;8;PEMBERTON PL;JERRABOMBERRA;2619;453.4;M;20110412;20110530;490000;A;R;RESIDENCE;;DN;;0;AG284312;
C;539;2924643;2;20110801 02:37;728/1043164;
D;539;2924643;2;20110801 02:37;P;;;;;;
D;539;2924643;2;20110801 02:37;P;;;;;;
D;539;2924643;2;20110801 02:37;V;;;;;;
D;539;2924643;2;20110801 02:37;V;;;;;;
B;539;454844;3;20110801 02:37;;;4;BINOWEE PL;KARABAR;2620;675.8;M;20110419;20110419;300000;A;R;RESIDENCE;;HT;;50;AG367465;
C;539;454844;3;20110801 02:37;28/851123;
D;539;454844;3;20110801 02:37;P;;;;;;
D;539;454844;3;20110801 02:37;P;;;;;;
D;539;454844;3;20110801 02:37;V;;;;;;
D;539;454844;3;20110801 02:37;V;;;;;;
D;539;454844;3;20110801 02:37;V;;;;;;
D;539;454844;3;20110801 02:37;V;;;;;;
B;539;455864;4;20110801 02:37;;;39;CAMPBELL ST;QUEANBEYAN;2620;657.6;M;20110608;20110622;481500;A;R;RESIDENCE;;AE;;0;AG392546;
C;539;455864;4;20110801 02:37;1/38012;
D;539;455864;4;20110801 02:37;P;;;;;;
D;539;455864;4;20110801 02:37;P;;;;;;
D;539;455864;4;20110801 02:37;V;;;;;;
B;539;455939;5;20110801 02:37;;;116;CANDLEBARK RD;KARABAR;2620;1495;M;20110427;20110704;850000;A;R;RESIDENCE;;HT;;0;AG385434;
C;539;455939;5;20110801 02:37;186/826662;
D;539;455939;5;20110801 02:37;P;;;;;;
D;539;455939;5;20110801 02:37;P;;;;;;
D;539;455939;5;20110801 02:37;V;;;;;;
D;539;455939;5;20110801 02:37;V;;;;;;
B;539;458782;6;20110801 02:37;;;43;ERIN ST;QUEANBEYAN;2620;1132;M;20110610;20110711;760000;A;R;RESIDENCE;;UP;;0;AG383270;
C;539;458782;6;20110801 02:37;1/832139;
D;539;458782;6;20110801 02:37;P;;;;;;
D;539;458782;6;20110801 02:37;V;;;;;;
B;539;467089;7;20110801 02:37;;;2;WARATAH ST;KARABAR;2620;632.3;M;20110620;20110720;410000;A;R;RESIDENCE;;AF;;0;AG391979;
C;539;467089;7;20110801 02:37;307/240185;
D;539;467089;7;20110801 02:37;P;;;;;;
D;539;467089;7;20110801 02:37;P;;;;;;
D;539;467089;7;20110801 02:37;V;;;;;;
B;539;462255;8;20110801 02:37;;15;26;MCKEAHNIE ST;CRESTWOOD;2620;;;20110602;20110630;250000;;R;RESIDENCE;15;;;0;AG369747;
C;539;462255;8;20110801 02:37;15/SP11269;
D;539;462255;8;20110801 02:37;P;;;;;;
D;539;462255;8;20110801 02:37;V;;;;;;
B;539;462398;9;20110801 02:37;;7;9;MACQUOID ST;QUEANBEYAN EAST;2620;;;20110510;20110622;169000;;R;RESIDENCE;7;;;0;AG363347;
C;539;462398;9;20110801 02:37;7/SP9413;
D;539;462398;9;20110801 02:37;P;;;;;;
D;539;462398;9;20110801 02:37;V;;;;;;
D;539;462398;9;20110801 02:37;V;;;;;;
B;539;465327;10;20110801 02:37;;;8;SORRELL PL;KARABAR;2620;1005;M;20110530;20110711;495000;A;R;RESIDENCE;;AH;;0;AG381860;
C;539;465327;10;20110801 02:37;23/221948;
D;539;465327;10;20110801 02:37;P;;;;;;
D;539;465327;10;20110801 02:37;P;;;;;;
D;539;465327;10;20110801 02:37;V;;;;;;
B;539;460905;11;20110801 02:37;;;31;JACARANDA DR;JERRABOMBERRA;2619;949.9;M;20110614;20110714;570000;A;R;RESIDENCE;;DJ;;0;AG382716;
C;539;460905;11;20110801 02:37;511/805283;
D;539;460905;11;20110801 02:37;P;;;;;;
D;539;460905;11;20110801 02:37;P;;;;;;
D;539;460905;11;20110801 02:37;V;;;;;;
D;539;460905;11;20110801 02:37;V;;;;;;
B;539;461166;12;20110801 02:37;;;47;KENDALL AVE;QUEANBEYAN WEST;2620;701.9;M;20110110;20110110;490000;I;3;COMMERCIAL;;MK;;0;AG389616;
C;539;461166;12;20110801 02:37;247/8456;
D;539;461166;12;20110801 02:37;P;;;;;;
D;539;461166;12;20110801 02:37;V;;;;;;
B;539;466705;13;20110801 02:37;;;65;URIARRA RD;CRESTWOOD;2620;695.6;M;20110528;20110624;385000;A;R;RESIDENCE;;DD;;0;AG369171;
C;539;466705;13;20110801 02:37;C/404720;
D;539;466705;13;20110801 02:37;P;;;;;;
D;539;466705;13;20110801 02:37;V;;;;;;
D;539;466705;13;20110801 02:37;V;;;;;;
B;539;3575916;14;20110801 02:37;;;88;DERRIMA RD;CRESTWOOD;2620;;;20090615;20110512;330000;;R;RESIDENCE;22;;;0;AG365679;
C;539;3575916;14;20110801 02:37;22/SP84905;
D;539;3575916;14;20110801 02:37;P;;;;;;
