A;RTSALEDATA;238;20250324 01:07;VALNET;
B;238;2633531;1;20250324 01:07;;;14;WARRENA ST;COONAMBLE;2829;398;M;20250227;20250314;155000;R1;R;RESIDENCE;;AAD;;0;AU894354;
C;238;2633531;1;20250324 01:07;2/912294;
D;238;2633531;1;20250324 01:07;P;;;;;;
D;238;2633531;1;20250324 01:07;V;;;;;;
B;238;4603069;2;20250324 01:07;;;;MERRI MERRI RD;QUAMBONE;2831;6.011;H;20240123;20250124;10324;;V;VACANT LAND;;;;0;AU819003;
C;238;4603069;2;20250324 01:07;1/1310059;
D;238;4603069;2;20250324 01:07;P;;;;;;
D;238;4603069;2;20250324 01:07;V;;;;;;
B;238;4603071;3;20250324 01:07;;;;MERRI MERRI RD;QUAMBONE;2831;18.39;H;20240123;20250124;10324;;V;VACANT LAND;;;;0;AU819003;
C;238;4603071;3;20250324 01:07;2/1310059;
D;238;4603071;3;20250324 01:07;P;;;;;;
D;238;4603071;3;20250324 01:07;V;;;;;;
Z;14;3;3;6;
