A;120;20030501 12:43;PBARBER;
B;120;1253537;1;20030501 12:43;;;6;AVISFORD CT;MUDGEE;2850;2.114;H;20030128;20030321;195000;A;V;VACANT LAND;;AA;;;9525281;
C;120;1253537;1;20030501 12:43;11//1007792;
D;120;1253537;1;20030501 12:43;P;;;;;;
D;120;1253537;1;20030501 12:43;P;;;;;;
D;120;1253537;1;20030501 12:43;V;;;;;;
B;120;1254166;2;20030501 12:43;;;13;COX ST;MUDGEE;2850;;;20030319;20030414;134000;A;R;RESIDENCE;;AD;;;9542355;
C;120;1254166;2;20030501 12:43;11/1/393;
D;120;1254166;2;20030501 12:43;P;;;;;;
D;120;1254166;2;20030501 12:43;P;;;;;;
D;120;1254166;2;20030501 12:43;V;;;;;;
D;120;1254166;2;20030501 12:43;V;;;;;;
B;120;1254947;3;20030501 12:43;;;;HAVILAH TCE;MUDGEE;2850;1007;M;20030207;20030326;245000;A;R;RESIDENCE;;AC;;;9543425;
C;120;1254947;3;20030501 12:43;3//828647;
D;120;1254947;3;20030501 12:43;P;;;;;;
D;120;1254947;3;20030501 12:43;P;;;;;;
D;120;1254947;3;20030501 12:43;V;;;;;;
D;120;1254947;3;20030501 12:43;V;;;;;;
B;120;1255145;4;20030501 12:43;;1;;HORATIO ST;MUDGEE;2850;;;20030220;20030403;96000;;3;;1;;;;9547613;
C;120;1255145;4;20030501 12:43;1//SP 44747;
D;120;1255145;4;20030501 12:43;P;;;;;;
D;120;1255145;4;20030501 12:43;V;;;;;;
D;120;1255145;4;20030501 12:43;V;;;;;;
B;120;1255563;5;20030501 12:43;;;32;LEWIS ST;MUDGEE;2850;;;20030226;20030414;153000;A;R;RESIDENCE;;AD;;;9542745;
C;120;1255563;5;20030501 12:43;2//214537;
D;120;1255563;5;20030501 12:43;P;;;;;;
D;120;1255563;5;20030501 12:43;P;;;;;;
D;120;1255563;5;20030501 12:43;V;;;;;;
B;120;1256883;6;20030501 12:43;;;;SPRING RD;MUDGEE;2850;902;M;20030221;20030328;261000;A;R;RESIDENCE;;AC;;;9552392;
C;120;1256883;6;20030501 12:43;3//863436;
D;120;1256883;6;20030501 12:43;P;;;;;;
D;120;1256883;6;20030501 12:43;P;;;;;;
D;120;1256883;6;20030501 12:43;V;;;;;;
D;120;1256883;6;20030501 12:43;V;;;;;;
B;120;1259494;7;20030501 12:43;;;72;HERBERT ST;GULGONG;2852;942.2;M;20030115;20030227;100000;B;R;RESIDENCE;;BE;;;9464497;
C;120;1259494;7;20030501 12:43;3, 4/12/758482;
D;120;1259494;7;20030501 12:43;P;;;;;;
D;120;1259494;7;20030501 12:43;V;;;;;;
B;120;1260221;8;20030501 12:43;;;;HILL END RD;HARGRAVES;2850;12.24;H;20020520;20030328;25000;R;V;VACANT LAND;;TR;;;9518940;
C;120;1260221;8;20030501 12:43;7//756885;
D;120;1260221;8;20030501 12:43;P;;;;;;
D;120;1260221;8;20030501 12:43;P;;;;;;
D;120;1260221;8;20030501 12:43;V;;;;;;
B;120;1260484;9;20030501 12:43;LYNWOOD;;88;WALLAWAUGH RD;HARGRAVES;2850;223.7;H;20030326;20030414;237000;R;R;RESIDENCE;;NK;;;9534457;
C;120;1260484;9;20030501 12:43;24//756892;
D;120;1260484;9;20030501 12:43;P;;;;;;
D;120;1260484;9;20030501 12:43;P;;;;;;
D;120;1260484;9;20030501 12:43;V;;;;;;
B;120;1261178;10;20030501 12:43;SMOKEY LODGE;;;TUCKERMANS RD;MUDGEE;2850;10.12;H;20030227;20030325;375000;R;R;RESIDENCE;;TG;;;9526898;
C;120;1261178;10;20030501 12:43;31//251719;
D;120;1261178;10;20030501 12:43;P;;;;;;
D;120;1261178;10;20030501 12:43;V;;;;;;
B;120;1261412;11;20030501 12:43;;;150;IRON BARK RD;KAINS FLAT VIA MUDGEE;2850;10.12;H;20030312;20030408;155000;R;R;RESIDENCE;;TN;;;9526436;
C;120;1261412;11;20030501 12:43;87//255534;
D;120;1261412;11;20030501 12:43;P;;;;;;
D;120;1261412;11;20030501 12:43;P;;;;;;
D;120;1261412;11;20030501 12:43;V;;;;;;
D;120;1261412;11;20030501 12:43;V;;;;;;
B;120;1262194;12;20030501 12:43;;;;CLARKES CREEK ROAD;WINDEYER;2850;129.5;H;20030227;20030410;80000;R;3;;;NK;;;9545845;
C;120;1262194;12;20030501 12:43;219//756923;
D;120;1262194;12;20030501 12:43;P;;;;;;
D;120;1262194;12;20030501 12:43;P;;;;;;
D;120;1262194;12;20030501 12:43;V;;;;;;
D;120;1262194;12;20030501 12:43;V;;;;;;
B;120;1256541;13;20030501 12:43;;10;9;OPORTO RD;MUDGEE;2850;202;M;20030228;20030404;180000;;R;RESIDENCE;10;;;;9550577;
C;120;1256541;13;20030501 12:43;10//SP 67155;
D;120;1256541;13;20030501 12:43;P;;;;;;
D;120;1256541;13;20030501 12:43;V;;;;;;
Z;69;13;13;41;
