A;029;20011109 08:52;CDIXON;
B;029;430013;1;20011109 08:52;;;7;ADDISON ST;GOULBURN;2580;146.7;M;20010529;20010629;90000;B;R;RESIDENCE;;BP;;;7749144;
C;029;430013;1;20011109 08:52;1//32582;
D;029;430013;1;20011109 08:52;P;;;;;;
D;029;430013;1;20011109 08:52;V;;;;;;
D;029;430013;1;20011109 08:52;V;;;;;;
B;029;430212;2;20011109 08:52;;;15;ALLISON ST;GOULBURN;2580;;;20010501;20010606;82000;A;R;RESIDENCE;;AF;;;7781200;
C;029;430212;2;20011109 08:52;1//809710;
D;029;430212;2;20011109 08:52;P;;;;;;
D;029;430212;2;20011109 08:52;V;;;;;;
B;029;430261;3;20011109 08:52;;;7;ANGELA PL;GOULBURN;2580;1829;M;20010627;20010716;275000;A;R;RESIDENCE;;AL;;;7780375;
C;029;430261;3;20011109 08:52;42//802161;
D;029;430261;3;20011109 08:52;P;;;;;;
D;029;430261;3;20011109 08:52;P;;;;;;
D;029;430261;3;20011109 08:52;V;;;;;;
B;029;430658;4;20011109 08:52;;;46;AVOCA ST;GOULBURN;2580;671;M;20010508;20010713;83000;A;R;RESIDENCE;;AJ;;;7792089;
C;029;430658;4;20011109 08:52;23/3/928963;
D;029;430658;4;20011109 08:52;P;;;;;;
D;029;430658;4;20011109 08:52;P;;;;;;
D;029;430658;4;20011109 08:52;V;;;;;;
D;029;430658;4;20011109 08:52;V;;;;;;
B;029;430690;5;20011109 08:52;;;28;BALLANYA AVE;GOULBURN;2580;1060;M;20010622;20010727;180000;A;R;RESIDENCE;;AP;;;7813556;
C;029;430690;5;20011109 08:52;4//791381;
D;029;430690;5;20011109 08:52;P;;;;;;
D;029;430690;5;20011109 08:52;P;;;;;;
D;029;430690;5;20011109 08:52;V;;;;;;
B;029;430731;6;20011109 08:52;;;9;BANKSIA WAY;GOULBURN;2580;983.6;M;20010518;20010704;37500;A;V;VACANT LAND;;AE;;;7752838;
C;029;430731;6;20011109 08:52;5//809012;
D;029;430731;6;20011109 08:52;P;;;;;;
D;029;430731;6;20011109 08:52;P;;;;;;
D;029;430731;6;20011109 08:52;V;;;;;;
D;029;430731;6;20011109 08:52;V;;;;;;
B;029;430741;7;20011109 08:52;;;4;BARBER ST;GOULBURN;2580;973.8;M;20010523;20010612;145000;A;R;RESIDENCE;;AL;;;7763589;
C;029;430741;7;20011109 08:52;16, 17//14352;
D;029;430741;7;20011109 08:52;P;;;;;;
D;029;430741;7;20011109 08:52;P;;;;;;
D;029;430741;7;20011109 08:52;V;;;;;;
D;029;430741;7;20011109 08:52;V;;;;;;
B;029;431034;8;20011109 08:52;;;142;BOURKE ST;GOULBURN;2580;276.5;M;20010412;20010523;105000;A;R;RESIDENCE;;AT;;;7770854;
C;029;431034;8;20011109 08:52;1//794212;
D;029;431034;8;20011109 08:52;P;;;;;;
D;029;431034;8;20011109 08:52;V;;;;;;
D;029;431034;8;20011109 08:52;V;;;;;;
B;029;431053;9;20011109 08:52;;;90;BOURKE ST;GOULBURN;2580;760.1;M;20001211;20010123;115000;A;R;RESIDENCE;;AT;AC;;7422408;
C;029;431053;9;20011109 08:52;PT B//153095 1//195870;
D;029;431053;9;20011109 08:52;P;;;;;;
D;029;431053;9;20011109 08:52;P;;;;;;
D;029;431053;9;20011109 08:52;V;;;;;;
B;029;431457;10;20011109 08:52;;;67;CATHCART ST;GOULBURN;2580;562.8;M;20010518;20010704;105000;A;R;RESIDENCE;;AR;;;7752905;
C;029;431457;10;20011109 08:52;7//202123;
D;029;431457;10;20011109 08:52;P;;;;;;
D;029;431457;10;20011109 08:52;V;;;;;;
B;029;431622;11;20011109 08:52;;;14;CHATSBURY ST;GOULBURN;2580;841.6;M;20010507;20010606;102000;A;R;RESIDENCE;;AV;;;7753410;
C;029;431622;11;20011109 08:52;1//742558;
D;029;431622;11;20011109 08:52;P;;;;;;
D;029;431622;11;20011109 08:52;P;;;;;;
D;029;431622;11;20011109 08:52;V;;;;;;
D;029;431622;11;20011109 08:52;V;;;;;;
B;029;431686;12;20011109 08:52;;;5;CHISWICK ST;GOULBURN;2580;1096;M;20010518;20010629;300000;A;3;CHILD CARE CE ;;AE;;;7764031;
C;029;431686;12;20011109 08:52;16/1/192820;
D;029;431686;12;20011109 08:52;P;;;;;;
D;029;431686;12;20011109 08:52;V;;;;;;
B;029;431736;13;20011109 08:52;;;9;CHURCHILL ST;GOULBURN;2580;600.7;M;20010620;20010703;55000;A;R;RESIDENCE;;AH;;;7750800;
C;029;431736;13;20011109 08:52;154//36685;
D;029;431736;13;20011109 08:52;P;;;;;;
D;029;431736;13;20011109 08:52;V;;;;;;
B;029;431851;14;20011109 08:52;;;157;CLIFFORD ST;GOULBURN;2580;202.3;M;20010530;20010622;112000;A;R;RESIDENCE;;AT;;;7769435;
C;029;431851;14;20011109 08:52;1//231700;
D;029;431851;14;20011109 08:52;P;;;;;;
D;029;431851;14;20011109 08:52;P;;;;;;
B;029;431855;15;20011109 08:52;;;145;CLIFFORD ST;GOULBURN;2580;556.4;M;20010605;20010718;85000;A;R;RESIDENCE;;AT;;;7798859;
C;029;431855;15;20011109 08:52;3//543814;
D;029;431855;15;20011109 08:52;P;;;;;;
D;029;431855;15;20011109 08:52;V;;;;;;
B;029;432009;16;20011109 08:52;;;138;CLINTON ST;GOULBURN;2580;854.5;M;20010529;20010703;127000;A;R;RESIDENCE;;AT;;;7749102;
C;029;432009;16;20011109 08:52;1//196329;
D;029;432009;16;20011109 08:52;P;;;;;;
D;029;432009;16;20011109 08:52;P;;;;;;
D;029;432009;16;20011109 08:52;V;;;;;;
D;029;432009;16;20011109 08:52;V;;;;;;
B;029;432623;17;20011109 08:52;;;6;CRESSY ST;GOULBURN;2580;562.8;M;20010704;20010717;90000;A;R;RESIDENCE;;AG;;;7793069;
C;029;432623;17;20011109 08:52;5//234962;
D;029;432623;17;20011109 08:52;P;;;;;;
D;029;432623;17;20011109 08:52;P;;;;;;
D;029;432623;17;20011109 08:52;V;;;;;;
D;029;432623;17;20011109 08:52;V;;;;;;
B;029;432809;18;20011109 08:52;;;122;DECCAN ST;GOULBURN;2580;537.5;M;20010528;20010622;127000;A;R;RESIDENCE;;AL;;;7730380;
C;029;432809;18;20011109 08:52;57//14352;
D;029;432809;18;20011109 08:52;P;;;;;;
D;029;432809;18;20011109 08:52;V;;;;;;
B;029;432818;19;20011109 08:52;;;2;DERWENT ST;GOULBURN;2580;992.8;M;20010626;20010713;80000;A;R;RESIDENCE;;AJ;;;7789890;
C;029;432818;19;20011109 08:52;1//203057;
D;029;432818;19;20011109 08:52;P;;;;;;
D;029;432818;19;20011109 08:52;P;;;;;;
D;029;432818;19;20011109 08:52;V;;;;;;
D;029;432818;19;20011109 08:52;V;;;;;;
B;029;432888;20;20011109 08:52;;;21;DIXON ST;GOULBURN;2580;818.6;M;20000809;20010629;270000;A;R;RESIDENCE;;AL;;;7749040;
C;029;432888;20;20011109 08:52;22//802161;
D;029;432888;20;20011109 08:52;P;;;;;;
D;029;432888;20;20011109 08:52;P;;;;;;
D;029;432888;20;20011109 08:52;V;;;;;;
B;029;432891;21;20011109 08:52;;;15;DIXON ST;GOULBURN;2580;761.7;M;20010629;20010720;205000;A;R;RESIDENCE;;AL;;;7799300;
C;029;432891;21;20011109 08:52;25//802161;
D;029;432891;21;20011109 08:52;P;;;;;;
D;029;432891;21;20011109 08:52;P;;;;;;
D;029;432891;21;20011109 08:52;V;;;;;;
B;029;433087;22;20011109 08:52;;;1;ELMS ST;GOULBURN;2580;689.3;M;20010618;20010720;112000;A;R;RESIDENCE;;AC;;;7798918;
C;029;433087;22;20011109 08:52;13//223245;
D;029;433087;22;20011109 08:52;P;;;;;;
D;029;433087;22;20011109 08:52;V;;;;;;
D;029;433087;22;20011109 08:52;V;;;;;;
B;029;433776;23;20011109 08:52;;;6;GLEBE AVE;GOULBURN;2580;720.8;M;20010412;20010629;130000;A;R;RESIDENCE;;AU;;;7741836;
C;029;433776;23;20011109 08:52;E//164042;
D;029;433776;23;20011109 08:52;P;;;;;;
D;029;433776;23;20011109 08:52;V;;;;;;
