A;051;20021217 14:33;PDANN;
B;051;504377;1;20021217 14:33;;1;10;BARINYA ST;BAROOGA;3644;;;20020924;20021112;93000;;3;UNIT;1;;;;9152053;
C;051;504377;1;20021217 14:33;1//SP 42078;
D;051;504377;1;20021217 14:33;P;;;;;;
D;051;504377;1;20021217 14:33;P;;;;;;
D;051;504377;1;20021217 14:33;V;;;;;;
B;051;504812;2;20021217 14:33;;;;TAKARI ST;BAROOGA;3644;5058;M;20020823;20021122;135000;R;R;RESIDENCE;;VH;;;9178992;
C;051;504812;2;20021217 14:33;1//811224;
D;051;504812;2;20021217 14:33;P;;;;;;
D;051;504812;2;20021217 14:33;V;;;;;;
B;051;505074;3;20021217 14:33;;;;MULWALA RD;BAROOGA;3644;350.4;H;20020805;20020930;730000;R;3;FARM;;RV;;;9152273;
C;051;505074;3;20021217 14:33;1//720268 60, 61, 96, 97//752280;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;P;;;;;;
D;051;505074;3;20021217 14:33;V;;;;;;
B;051;506516;4;20021217 14:33;;;123;CHANTER ST;BERRIGAN;2712;862.7;M;20010920;20011106;28500;Z;R;RESIDENCE;;BR;;;8119472;
C;051;506516;4;20021217 14:33;68//318139;
D;051;506516;4;20021217 14:33;P;;;;;;
D;051;506516;4;20021217 14:33;V;;;;;;
D;051;506516;4;20021217 14:33;V;;;;;;
B;051;507475;5;20021217 14:33;;;16;BAROOGA NORTH ST;TOCUMWAL;2714;1152;M;20010129;20010323;73000;Z;R;RESIDENCE;;TR;;;9159912;
C;051;507475;5;20021217 14:33;13//613523;
D;051;507475;5;20021217 14:33;P;;;;;;
D;051;507475;5;20021217 14:33;P;;;;;;
D;051;507475;5;20021217 14:33;V;;;;;;
B;051;507617;6;20021217 14:33;;;2;MURRAY ST;TOCUMWAL;2714;908;M;20020904;20020927;250000;Z;R;RESIDENCE;;TC;;;9180807;
C;051;507617;6;20021217 14:33;2//837922;
D;051;507617;6;20021217 14:33;P;;;;;;
D;051;507617;6;20021217 14:33;V;;;;;;
D;051;507617;6;20021217 14:33;V;;;;;;
B;051;508014;7;20021217 14:33;;;94;KELLY ST;TOCUMWAL;2714;;;20021009;20021114;93000;Z;R;RESIDENCE;;TR;;;9160093;
C;051;508014;7;20021217 14:33;72//611198;
D;051;508014;7;20021217 14:33;P;;;;;;
D;051;508014;7;20021217 14:33;V;;;;;;
B;051;508363;8;20021217 14:33;;;;AIRPORT RD;FINLEY;2713;1.174;H;20000629;20000721;232000;R;3;HANGAR;;FH;;;7038320;
C;051;508363;8;20021217 14:33;241//822989;
D;051;508363;8;20021217 14:33;P;;;;;;
D;051;508363;8;20021217 14:33;V;;;;;;
B;051;508406;9;20021217 14:33;;;;FINNS RD;BERRIGAN;2712;402.9;H;20001127;20010131;1046007;R;3;FARM;;RM;RW;;7512392;
C;051;508406;9;20021217 14:33;1, 2//105079 30, 31//752302;
D;051;508406;9;20021217 14:33;P;;;;;;
