A;149;20030501 12:45;PBARBER;
B;149;1659112;1;20030501 12:45;;;32;OLD CORAMBA RD S;DORRIGO;2453;925.4;M;20030227;20030327;46000;Z;V;VACANT LAND;;ZA;AV;;9542166;
C;149;1659112;1;20030501 12:45;20//1006665;
D;149;1659112;1;20030501 12:45;P;;;;;;
D;149;1659112;1;20030501 12:45;P;;;;;;
D;149;1659112;1;20030501 12:45;V;;;;;;
B;149;1659151;2;20030501 12:45;;;5;ACACIA ST;DORRIGO;2453;1037;M;20030218;20030318;98000;Z;R;RESIDENCE;;ZA;AC;;9533397;
C;149;1659151;2;20030501 12:45;20/7/758357;
D;149;1659151;2;20030501 12:45;P;;;;;;
D;149;1659151;2;20030501 12:45;P;;;;;;
D;149;1659151;2;20030501 12:45;V;;;;;;
B;149;1659269;3;20030501 12:45;;;3;ELM AVE;DORRIGO;2453;6307;M;20030226;20030410;40000;R;V;VACANT LAND;;RA;RV;;9541618;
C;149;1659269;3;20030501 12:45;23//263980;
D;149;1659269;3;20030501 12:45;P;;;;;;
D;149;1659269;3;20030501 12:45;P;;;;;;
D;149;1659269;3;20030501 12:45;V;;;;;;
B;149;1659287;4;20030501 12:45;;;;ELM AVE;DORRIGO;2453;7593;M;20030220;20030403;50000;R;V;VACANT LAND;;RA;RV;;9534745;
C;149;1659287;4;20030501 12:45;4//263980;
D;149;1659287;4;20030501 12:45;P;;;;;;
D;149;1659287;4;20030501 12:45;P;;;;;;
D;149;1659287;4;20030501 12:45;V;;;;;;
D;149;1659287;4;20030501 12:45;V;;;;;;
B;149;1659302;5;20030501 12:45;;;14;GATENBY ST;DORRIGO;2453;761.3;M;20030228;20030411;190000;Z;3;;;ZA;AC;;9544428;
C;149;1659302;5;20030501 12:45;12//261537;
D;149;1659302;5;20030501 12:45;P;;;;;;
D;149;1659302;5;20030501 12:45;P;;;;;;
D;149;1659302;5;20030501 12:45;V;;;;;;
D;149;1659302;5;20030501 12:45;V;;;;;;
B;149;1659397;6;20030501 12:45;;;9;HICKORY ST;DORRIGO;2453;938.5;M;20030304;20030408;23000;Z;V;VACANT LAND;;ZA;AV;;9536408;
C;149;1659397;6;20030501 12:45;13//262607;
D;149;1659397;6;20030501 12:45;P;;;;;;
D;149;1659397;6;20030501 12:45;P;;;;;;
D;149;1659397;6;20030501 12:45;P;;;;;;
D;149;1659397;6;20030501 12:45;V;;;;;;
B;149;1659434;7;20030501 12:45;;;8;KARABIN ST;DORRIGO;2453;2023;M;20030210;20030407;149000;Z;R;RESIDENCE;;ZA;AC;;9535179;
C;149;1659434;7;20030501 12:45;4/15/758357;
D;149;1659434;7;20030501 12:45;P;;;;;;
D;149;1659434;7;20030501 12:45;P;;;;;;
D;149;1659434;7;20030501 12:45;V;;;;;;
B;149;1659524;8;20030501 12:45;;;17;OLD CORAMBA RD S;DORRIGO;2453;6.978;H;20030115;20030206;320000;Z;R;RESIDENCE;;ZA;AC;;9548200;
C;149;1659524;8;20030501 12:45;15//247087;
D;149;1659524;8;20030501 12:45;P;;;;;;
D;149;1659524;8;20030501 12:45;V;;;;;;
B;149;1659875;9;20030501 12:45;;;180;JOHNSENS RD;FERNBROOK;2453;114.6;H;20030221;20030401;295000;R;3;FARM;;RC;RG;;9516244;
C;149;1659875;9;20030501 12:45;20//815903;
D;149;1659875;9;20030501 12:45;P;;;;;;
D;149;1659875;9;20030501 12:45;P;;;;;;
D;149;1659875;9;20030501 12:45;V;;;;;;
D;149;1659875;9;20030501 12:45;V;;;;;;
B;149;1660119;10;20030501 12:45;;;819;CORAMBA RD;LEIGH;2453;3.633;H;20030221;20030404;227000;R;R;RESIDENCE;;RA;RR;;9527588;
C;149;1660119;10;20030501 12:45;6//615974;
D;149;1660119;10;20030501 12:45;P;;;;;;
D;149;1660119;10;20030501 12:45;P;;;;;;
D;149;1660119;10;20030501 12:45;V;;;;;;
D;149;1660119;10;20030501 12:45;V;;;;;;
