A;205;20021101 12:05;PDANN;
B;205;1912802;1;20021101 12:05;;5;1;ALBERT ST;ROZELLE;2039;;;20020913;20021002;382500;;R;RESIDENCE;5;;;;9030916;
C;205;1912802;1;20021101 12:05;5//SP 19680;
D;205;1912802;1;20021101 12:05;P;;;;;;
D;205;1912802;1;20021101 12:05;P;;;;;;
D;205;1912802;1;20021101 12:05;V;;;;;;
B;205;1913141;2;20021101 12:05;;;33;ALFRED ST;LILYFIELD;2040;168;M;20020820;20021001;582000;A;R;RESIDENCE;;EA;;;9034828;
C;205;1913141;2;20021101 12:05;314//264430;
D;205;1913141;2;20021101 12:05;P;;;;;;
D;205;1913141;2;20021101 12:05;P;;;;;;
D;205;1913141;2;20021101 12:05;V;;;;;;
B;205;1913369;3;20021101 12:05;;;7;ALLEN ST;LEICHHARDT;2040;158.1;M;20020906;20021004;565000;A;R;RESIDENCE;;EA;;;9047938;
C;205;1913369;3;20021101 12:05;1//923310;
D;205;1913369;3;20021101 12:05;P;;;;;;
D;205;1913369;3;20021101 12:05;P;;;;;;
D;205;1913369;3;20021101 12:05;V;;;;;;
D;205;1913369;3;20021101 12:05;V;;;;;;
B;205;1913507;4;20021101 12:05;BLOCK F;116;69;ALLEN ST;LEICHHARDT;2040;;;20020830;20021011;439000;;3;HOME UNIT;15;;;;9040257;
C;205;1913507;4;20021101 12:05;15//SP 60111;
D;205;1913507;4;20021101 12:05;P;;;;;;
D;205;1913507;4;20021101 12:05;V;;;;;;
D;205;1913507;4;20021101 12:05;V;;;;;;
B;205;1913535;5;20021101 12:05;;;73;ALLEN ST;LEICHHARDT;2040;216.6;M;20020819;20020927;537000;A;R;RESIDENCE;;EA;;;9031332;
C;205;1913535;5;20021101 12:05;21//881160;
D;205;1913535;5;20021101 12:05;P;;;;;;
D;205;1913535;5;20021101 12:05;V;;;;;;
D;205;1913535;5;20021101 12:05;V;;;;;;
B;205;1913566;6;20021101 12:05;;18;161;ALLEN ST;LEICHHARDT;2040;;;20020424;20020622;480000;;R;RESIDENCE;18;;;;9033262;
C;205;1913566;6;20021101 12:05;18//SP 50690;
D;205;1913566;6;20021101 12:05;P;;;;;;
D;205;1913566;6;20021101 12:05;V;;;;;;
B;205;1914699;7;20021101 12:05;;9;59;BALMAIN RD;LEICHHARDT;2040;;;20020420;20020801;335000;;R;RESIDENCE;9;;;;9044789;
C;205;1914699;7;20021101 12:05;9//8141;
D;205;1914699;7;20021101 12:05;P;;;;;;
D;205;1914699;7;20021101 12:05;V;;;;;;
D;205;1914699;7;20021101 12:05;V;;;;;;
B;205;1915363;8;20021101 12:05;;;54;BEATTIE ST;BALMAIN;2041;328.8;M;20020518;20020927;1057000;A;R;RESIDENCE;;EB;;;9041079;
C;205;1915363;8;20021101 12:05;4//664720;
D;205;1915363;8;20021101 12:05;P;;;;;;
D;205;1915363;8;20021101 12:05;V;;;;;;
B;205;1916050;9;20021101 12:05;;;9;BREILLAT ST;ANNANDALE;2038;164.4;M;20020826;20021008;530000;A;R;RESIDENCE;;EK;;;9051891;
C;205;1916050;9;20021101 12:05;C//436431;
D;205;1916050;9;20021101 12:05;P;;;;;;
D;205;1916050;9;20021101 12:05;P;;;;;;
D;205;1916050;9;20021101 12:05;V;;;;;;
B;205;1916138;10;20021101 12:05;;;60;BRENAN ST;LILYFIELD;2040;151.8;M;19971210;19971210;220000;A;R;RESIDENCE;;EA;;;3669483;
C;205;1916138;10;20021101 12:05;A//107581;
D;205;1916138;10;20021101 12:05;P;;;;;;
D;205;1916138;10;20021101 12:05;V;;;;;;
B;205;1916475;11;20021101 12:05;;;199;BRIDGE RD;GLEBE;2037;164.4;M;20020817;20020927;680000;A;R;RESIDENCE;;EB;;;9029647;
C;205;1916475;11;20021101 12:05;G//913683;
D;205;1916475;11;20021101 12:05;P;;;;;;
D;205;1916475;11;20021101 12:05;V;;;;;;
D;205;1916475;11;20021101 12:05;V;;;;;;
B;205;1916785;12;20021101 12:05;;19;1;BUCHANAN ST;BALMAIN;2041;;;20020916;20021015;547500;;R;RESIDENCE;19;;;;9057534;
C;205;1916785;12;20021101 12:05;19//SP 62871;
D;205;1916785;12;20021101 12:05;P;;;;;;
D;205;1916785;12;20021101 12:05;V;;;;;;
B;205;1917219;13;20021101 12:05;;;24;CAMERON ST;BALMAIN;2041;83.3;M;20020731;20021002;495000;A;R;RESIDENCE;;EC;;;9033980;
C;205;1917219;13;20021101 12:05;4//614033;
D;205;1917219;13;20021101 12:05;P;;;;;;
D;205;1917219;13;20021101 12:05;V;;;;;;
B;205;1917993;14;20021101 12:05;;;196;CATHERINE ST;LEICHHARDT;2040;;;20020726;20020920;590000;A;R;RESIDENCE;;EA;;;9055164;
C;205;1917993;14;20021101 12:05;6//963553;
D;205;1917993;14;20021101 12:05;P;;;;;;
D;205;1917993;14;20021101 12:05;P;;;;;;
D;205;1917993;14;20021101 12:05;V;;;;;;
D;205;1917993;14;20021101 12:05;V;;;;;;
B;205;1918482;15;20021101 12:05;;;28;CHARLOTTE ST;ROZELLE;2039;;;20020605;20020717;640000;A;R;RESIDENCE;;EL;;;9061847;
C;205;1918482;15;20021101 12:05;16//975269;
D;205;1918482;15;20021101 12:05;P;;;;;;
D;205;1918482;15;20021101 12:05;P;;;;;;
D;205;1918482;15;20021101 12:05;V;;;;;;
B;205;1918543;16;20021101 12:05;;;3;CHESTER ST;ANNANDALE;2038;107.9;M;20020703;20020814;425000;A;R;RESIDENCE;;EK;;;9044571;
C;205;1918543;16;20021101 12:05;41//732378;
D;205;1918543;16;20021101 12:05;P;;;;;;
D;205;1918543;16;20021101 12:05;P;;;;;;
B;205;1918768;17;20021101 12:05;;;8;CLARE ST;ROZELLE;2039;196;M;20020824;20021004;685000;A;R;RESIDENCE;;EL;;;9025650;
C;205;1918768;17;20021101 12:05;1//86211;
D;205;1918768;17;20021101 12:05;P;;;;;;
D;205;1918768;17;20021101 12:05;P;;;;;;
D;205;1918768;17;20021101 12:05;V;;;;;;
D;205;1918768;17;20021101 12:05;V;;;;;;
B;205;1918870;18;20021101 12:05;;2;8;CLIFTON ST;BALMAIN;2041;;;20020914;20021018;572000;;R;RESIDENCE;2;;;;9062700;
C;205;1918870;18;20021101 12:05;2//11609;
D;205;1918870;18;20021101 12:05;P;;;;;;
D;205;1918870;18;20021101 12:05;V;;;;;;
B;205;1919224;19;20021101 12:05;;29;44;COLLINS ST;ANNANDALE;2038;;;20020831;20021008;399999;;3;UNIT;29;;;;9030112;
C;205;1919224;19;20021101 12:05;29//22018;
D;205;1919224;19;20021101 12:05;P;;;;;;
D;205;1919224;19;20021101 12:05;V;;;;;;
B;205;1919300;20;20021101 12:05;;3;3 A;COLLINS ST;ANNANDALE;2038;;;20020826;20020924;375000;;R;RESIDENCE;3;;;;9031329;
C;205;1919300;20;20021101 12:05;3//14304;
D;205;1919300;20;20021101 12:05;P;;;;;;
D;205;1919300;20;20021101 12:05;V;;;;;;
B;205;1919443;21;20021101 12:05;;5;29;COOK ST;GLEBE;2037;;;20020621;20020830;615000;;R;RESIDENCE;5;;;;9025367;
C;205;1919443;21;20021101 12:05;5//SP 56308;
D;205;1919443;21;20021101 12:05;P;;;;;;
D;205;1919443;21;20021101 12:05;V;;;;;;
