A;191;20030501 12:47;PBARBER;
B;191;1863368;1;20030501 12:47;;;41;STODDART ST;MANILLA;2346;1012;M;20030306;20030404;25000;Z;R;RESIDENCE;;ZS;;;9524339;
C;191;1863368;1;20030501 12:47;3/4/8900;
D;191;1863368;1;20030501 12:47;P;;;;;;
D;191;1863368;1;20030501 12:47;P;;;;;;
D;191;1863368;1;20030501 12:47;V;;;;;;
B;191;2938570;2;20030501 12:47;;;;WILLAMBY;MANILLA;2346;1334.5;H;20021129;20021129;1000000;R;3;FARM/RURAL;;MF;RM;;9519197;
C;191;2938570;2;20030501 12:47;1//128148 1//128149 1, 2//128198 PT 77, PT 84, 105, 106, 107, 111, 119;
C;191;2938570;2;20030501 12:47;, 148, PT 149, 150, 151, PT 152, PT 169//752169 103, 104, 105//752189;
D;191;2938570;2;20030501 12:47;P;;;;;;
D;191;2938570;2;20030501 12:47;P;;;;;;
D;191;2938570;2;20030501 12:47;V;;;;;;
Z;13;2;3;6;
