A;237;20030619 09:38;PDANN;
B;237;2628781;1;20030619 09:38;;;;LACHLAN ST;BARADINE;2396;9409;M;20030212;20030317;12000;Z;V;VACANT LAND;;AH;AV;0;9468573;
C;237;2628781;1;20030619 09:38;164//750246;
D;237;2628781;1;20030619 09:38;P;;;;;;
D;237;2628781;1;20030619 09:38;P;;;;;;
D;237;2628781;1;20030619 09:38;V;;;;;;
D;237;2628781;1;20030619 09:38;V;;;;;;
B;237;2629958;2;20030619 09:38;;;;BARADINE ST;COONABARABRAN;2357;3.758;H;20030205;20030307;22000;R;V;VACANT LAND;;HA;RV;0;9449260;
C;237;2629958;2;20030619 09:38;3//863254;
D;237;2629958;2;20030619 09:38;P;;;;;;
D;237;2629958;2;20030619 09:38;V;;;;;;
B;237;2630408;3;20030619 09:38;;;12;DALGARNO ST;COONABARABRAN;2357;904.3;M;20021217;20030324;99000;Z;R;RESIDENCE;;AB;AC;0;9485428;
C;237;2630408;3;20030619 09:38;21//609549;
D;237;2630408;3;20030619 09:38;P;;;;;;
D;237;2630408;3;20030619 09:38;V;;;;;;
D;237;2630408;3;20030619 09:38;V;;;;;;
B;237;2630456;4;20030619 09:38;;;4;EDEN ST;COONABARABRAN;2357;921.3;M;20030203;20030317;60000;Z;R;RESIDENCE;;AB;AC;0;9473390;
C;237;2630456;4;20030619 09:38;1//785304;
D;237;2630456;4;20030619 09:38;P;;;;;;
D;237;2630456;4;20030619 09:38;V;;;;;;
D;237;2630456;4;20030619 09:38;V;;;;;;
B;237;2630966;5;20030619 09:38;;;31;NANDI ST;COONABARABRAN;2357;1037;M;20030214;20030307;80000;Z;R;RESIDENCE;;AA;AC;0;9461172;
C;237;2630966;5;20030619 09:38;6/64/758281;
D;237;2630966;5;20030619 09:38;P;;;;;;
D;237;2630966;5;20030619 09:38;V;;;;;;
D;237;2630966;5;20030619 09:38;V;;;;;;
B;237;2631201;6;20030619 09:38;LOT 20;;;SOUTHERN CROSS PDE;COONABARABRAN;2357;3.021;H;20020213;20020213;13500;R;R;RESIDENCE;;HA;RRI;0;9467539;
C;237;2631201;6;20030619 09:38;20//874116;
D;237;2631201;6;20030619 09:38;P;;;;;;
D;237;2631201;6;20030619 09:38;V;;;;;;
D;237;2631201;6;20030619 09:38;V;;;;;;
D;237;2631201;6;20030619 09:38;V;;;;;;
B;237;2631565;7;20030619 09:38;;;;PH GUNDI;COONABARABRAN;2357;4.047;H;20030227;20030314;20000;R;V;VACANT LAND;;HA;RV;0;9461982;
C;237;2631565;7;20030619 09:38;73//712905;
D;237;2631565;7;20030619 09:38;P;;;;;;
D;237;2631565;7;20030619 09:38;P;;;;;;
D;237;2631565;7;20030619 09:38;V;;;;;;
B;237;2631769;8;20030619 09:38;;;;PH SALTWATER;COONABARABRAN;2357;1847;H;20020711;20020822;714000;R;3;;;MB;RV;0;9450482;
C;237;2631769;8;20030619 09:38;12//222752 27, 28, 133, 152, 155//755519;
D;237;2631769;8;20030619 09:38;P;;;;;;
D;237;2631769;8;20030619 09:38;P;;;;;;
D;237;2631769;8;20030619 09:38;P;;;;;;
D;237;2631769;8;20030619 09:38;P;;;;;;
D;237;2631769;8;20030619 09:38;V;;;;;;
B;237;2631900;9;20030619 09:38;;;;'TIMBALI';COONABARABRAN;2357;1063;H;20030130;20030313;300000;R;R;RESIDENCE;;GD;RM;0;9461140;
C;237;2631900;9;20030619 09:38;95, 97//755523;
D;237;2631900;9;20030619 09:38;P;;;;;;
D;237;2631900;9;20030619 09:38;P;;;;;;
D;237;2631900;9;20030619 09:38;V;;;;;;
B;237;2631934;10;20030619 09:38;;;;ULAMAMBRI ST;ULAMAMBRI;2357;4047;M;20030204;20030314;2500;Z;V;VACANT LAND;;AT;RV;0;9472893;
C;237;2631934;10;20030619 09:38;4, 5/4/759016;
D;237;2631934;10;20030619 09:38;P;;;;;;
D;237;2631934;10;20030619 09:38;V;;;;;;
D;237;2631934;10;20030619 09:38;V;;;;;;
B;237;2882588;11;20030619 09:38;;;;'TABLETOP';COONABARABRAN;2357;312.6;H;20030130;20030313;350000;R;R;RESIDENCE;;CB;RM;0;9468328;
C;237;2882588;11;20030619 09:38;2//1034828;
D;237;2882588;11;20030619 09:38;P;;;;;;
D;237;2882588;11;20030619 09:38;P;;;;;;
D;237;2882588;11;20030619 09:38;V;;;;;;
B;237;2888001;12;20030619 09:38;;;2;RAILWAY ST;BARADINE;2396;2492;M;20030207;20030314;30000;Z;R;RESIDENCE;;AH;AC;0;9472403;
C;237;2888001;12;20030619 09:38;9, 10/14/758051;
D;237;2888001;12;20030619 09:38;P;;;;;;
D;237;2888001;12;20030619 09:38;V;;;;;;
D;237;2888001;12;20030619 09:38;V;;;;;;
B;237;2970375;13;20030619 09:38;;;;TIMOR RD;COONABARABRAN;2357;1.33;H;20030303;20030314;28000;R;V;VACANT LAND;;HA;RV;0;9468603;
C;237;2970375;13;20030619 09:38;24//1049366;
D;237;2970375;13;20030619 09:38;P;;;;;;
D;237;2970375;13;20030619 09:38;P;;;;;;
D;237;2970375;13;20030619 09:38;V;;;;;;
D;237;2970375;13;20030619 09:38;V;;;;;;
B;237;2975704;14;20030619 09:38;LOT 32;;;NEWELL HWY;COONABARABRAN;2357;7.175;H;20021203;20030116;20000;R;V;VACANT LAND;;HA;RV;0;9378849;
C;237;2975704;14;20030619 09:38;32//862704;
D;237;2975704;14;20030619 09:38;P;;;;;;
D;237;2975704;14;20030619 09:38;V;;;;;;
D;237;2975704;14;20030619 09:38;V;;;;;;
Z;76;14;14;46;
