A;231;20011109 08:52;CDIXON;
B;231;2606145;1;20011109 08:52;;;;ARIAH ST;MIRROOL;2665;1012;M;20000918;20010615;31000;Z;R;RESIDENCE;;VM;;;7810457;
C;231;2606145;1;20011109 08:52;13/5/758684;
D;231;2606145;1;20011109 08:52;P;;;;;;
B;231;2607118;2;20011109 08:52;;;8;LAWERANCES LANE;BARMEDMAN;2668;2.006;H;20000815;20010625;60000;Z;R;RESIDENCE;;VB;;;7801186;
C;231;2607118;2;20011109 08:52;64//750607 Incomplete Purchase 91173;
D;231;2607118;2;20011109 08:52;P;;;;;;
D;231;2607118;2;20011109 08:52;V;;;;;;
B;231;2607271;3;20011109 08:52;;;;QUEEN ST;BARMEDMAN;2668;1012;M;20010525;20010626;15000;Z;R;RESIDENCE;;VB;;;7741514;
C;231;2607271;3;20011109 08:52;1/20/758055;
D;231;2607271;3;20011109 08:52;P;;;;;;
D;231;2607271;3;20011109 08:52;P;;;;;;
D;231;2607271;3;20011109 08:52;V;;;;;;
D;231;2607271;3;20011109 08:52;V;;;;;;
B;231;2607997;4;20011109 08:52;;;34;MURIEL ST;UNGARIE;2669;910.5;M;20010705;20010720;42500;Z;R;RESIDENCE;;VU;;;7808650;
C;231;2607997;4;20011109 08:52;6/O/8548;
D;231;2607997;4;20011109 08:52;P;;;;;;
D;231;2607997;4;20011109 08:52;P;;;;;;
D;231;2607997;4;20011109 08:52;V;;;;;;
D;231;2607997;4;20011109 08:52;V;;;;;;
B;231;2608441;5;20011109 08:52;;;74;WYALONG CLEAR RIDGE RD;WYALONG;2671;8094;M;20010618;20010709;165000;R;V;VACANT LAND;;WS;;;7802603;
C;231;2608441;5;20011109 08:52;818//753135;
D;231;2608441;5;20011109 08:52;P;;;;;;
D;231;2608441;5;20011109 08:52;P;;;;;;
D;231;2608441;5;20011109 08:52;V;;;;;;
D;231;2608441;5;20011109 08:52;V;;;;;;
B;231;2608528;6;20011109 08:52;;;;BLYTH ST;WYALONG;2671;1012;M;20010528;20010620;65000;Z;R;RESIDENCE;;AB;;;7759699;
C;231;2608528;6;20011109 08:52;18//652795 1//901008;
D;231;2608528;6;20011109 08:52;P;;;;;;
D;231;2608528;6;20011109 08:52;P;;;;;;
D;231;2608528;6;20011109 08:52;V;;;;;;
D;231;2608528;6;20011109 08:52;V;;;;;;
B;231;2608571;7;20011109 08:52;;;;CASSIN ST;WYALONG;2671;1012;M;20010621;20010627;8500;Z;V;VACANT LAND;;AB;;;7735497;
C;231;2608571;7;20011109 08:52;;
D;231;2608571;7;20011109 08:52;P;;;;;;
D;231;2608571;7;20011109 08:52;P;;;;;;
D;231;2608571;7;20011109 08:52;V;;;;;;
D;231;2608571;7;20011109 08:52;V;;;;;;
B;231;2608572;8;20011109 08:52;;;;CASSIN ST;WYALONG;2671;1012;M;20010621;20010627;8500;Z;V;VACANT LAND;;AB;;;7735462;
C;231;2608572;8;20011109 08:52;;
D;231;2608572;8;20011109 08:52;P;;;;;;
D;231;2608572;8;20011109 08:52;P;;;;;;
D;231;2608572;8;20011109 08:52;V;;;;;;
B;231;2608576;9;20011109 08:52;;;;CASSIN ST;WYALONG;2671;1012;M;20010604;20010628;70000;Z;R;RESIDENCE;;AB;;;7810252;
C;231;2608576;9;20011109 08:52;15/37/759123;
D;231;2608576;9;20011109 08:52;P;;;;;;
D;231;2608576;9;20011109 08:52;V;;;;;;
