A;242;20011109 15:19;CDIXON;
B;242;2642105;1;20011109 15:19;;;;HEXHAM;BUNDARRA;2359;237.4;H;20010720;20010914;40000;R;V;VACANT LAND;;RW;RV;;7967710;
C;242;2642105;1;20011109 15:19;1//822777;
D;242;2642105;1;20011109 15:19;P;;;;;;
D;242;2642105;1;20011109 15:19;V;;;;;;
D;242;2642105;1;20011109 15:19;V;;;;;;
B;242;2642804;2;20011109 15:19;;;208;FALCONER ST;GUYRA;2365;1088;M;20010816;20010816;20000;I;V;VACANT LAND;;CA;IV;;7916958;
C;242;2642804;2;20011109 15:19;11/17/758497;
D;242;2642804;2;20011109 15:19;P;;;;;;
D;242;2642804;2;20011109 15:19;V;;;;;;
D;242;2642804;2;20011109 15:19;V;;;;;;
B;242;2642968;3;20011109 15:19;;;52;MANSE ST;GUYRA;2365;2.023;H;20010626;20010803;142500;A;V;VACANT LAND;;AA;;;7975514;
C;242;2642968;3;20011109 15:19;298//755824;
D;242;2642968;3;20011109 15:19;P;;;;;;
D;242;2642968;3;20011109 15:19;P;;;;;;
D;242;2642968;3;20011109 15:19;V;;;;;;
B;242;2643105;4;20011109 15:19;;;104;OLLERA ST;GUYRA;2365;704.8;M;20010907;20010921;56000;A;R;RESIDENCE;;AA;;;7973835;
C;242;2643105;4;20011109 15:19;1//846144;
D;242;2643105;4;20011109 15:19;P;;;;;;
D;242;2643105;4;20011109 15:19;P;;;;;;
D;242;2643105;4;20011109 15:19;V;;;;;;
B;242;2643117;5;20011109 15:19;;2;78;OLLERA ST;GUYRA;2365;;;20010730;20010827;75000;;R;RESIDENCE;2;;;;7910712;
C;242;2643117;5;20011109 15:19;2//34347;
D;242;2643117;5;20011109 15:19;P;;;;;;
D;242;2643117;5;20011109 15:19;P;;;;;;
D;242;2643117;5;20011109 15:19;V;;;;;;
D;242;2643117;5;20011109 15:19;V;;;;;;
B;242;2643371;6;20011109 15:19;;;13;WIRRUNA ST;GUYRA;2365;916.9;M;20010626;20010803;80000;A;R;RESIDENCE;;AA;AC;;7902954;
C;242;2643371;6;20011109 15:19;41//24860;
D;242;2643371;6;20011109 15:19;P;;;;;;
D;242;2643371;6;20011109 15:19;P;;;;;;
D;242;2643371;6;20011109 15:19;V;;;;;;
B;242;2643417;7;20011109 15:19;;;17;YOUMAN ST;GUYRA;2365;738.7;M;20010810;20010905;80000;A;R;RESIDENCE;;AA;AC;;7947822;
C;242;2643417;7;20011109 15:19;31//253680;
D;242;2643417;7;20011109 15:19;P;;;;;;
D;242;2643417;7;20011109 15:19;P;;;;;;
D;242;2643417;7;20011109 15:19;V;;;;;;
B;242;2643419;8;20011109 15:19;;;21;YOUMAN ST;GUYRA;2365;733.6;M;20010801;20010820;81000;A;R;RESIDENCE;;AA;AC;;7952243;
C;242;2643419;8;20011109 15:19;33//253680;
D;242;2643419;8;20011109 15:19;P;;;;;;
D;242;2643419;8;20011109 15:19;P;;;;;;
D;242;2643419;8;20011109 15:19;V;;;;;;
B;242;2643693;9;20011109 15:19;;;381;ABERFOYLE RD;BROCKLEY;2365;686.2;H;20010227;20010507;131300;R;3;DUMERESQ AND GUYRA;;RV;RGO;;7611533;
C;242;2643693;9;20011109 15:19;B//406219 1//661353 33, 34, 42, 43, 9//751461;
D;242;2643693;9;20011109 15:19;P;;;;;;
D;242;2643693;9;20011109 15:19;V;;;;;;
Z;47;9;9;27;
