A;246;20020702 09:37;PDANN;
B;246;2652537;1;20020702 09:37;;;;PH MURRURUNDI;MURRURUNDI;2338;226.7;H;20020419;20020528;180000;R;V;VACANT LAND;;GE;RG;;8665510;
C;246;2652537;1;20020702 09:37;22//867863;
D;246;2652537;1;20020702 09:37;P;;;;;;
D;246;2652537;1;20020702 09:37;V;;;;;;
B;246;2653152;2;20020702 09:37;;;;PH TEMI;WILLOW TREE;2339;364.5;H;20000630;20001009;225650;R;3;FARM - INCLS 2653152;;GW;RG;;7179143;
C;246;2653152;2;20020702 09:37;1, 10, 12, 13, 14, 15, 16, 17, 18, 2, 3, 4, 5, 6, 7, 8, 9//113350 PT 1;
C;246;2653152;2;20020702 09:37;00, PT 101, PT 102, PT 197, PT 274, PT 73//751028;
D;246;2653152;2;20020702 09:37;P;;;;;;
D;246;2653152;2;20020702 09:37;P;;;;;;
D;246;2653152;2;20020702 09:37;V;;;;;;
D;246;2653152;2;20020702 09:37;V;;;;;;
B;246;2824967;3;20020702 09:37;KISIMUL;;528;TIMOR RD;BLANDFORD;2338;56.85;H;20020412;20020520;532500;R;3;FARM;;HM;RG;;8668632;
C;246;2824967;3;20020702 09:37;1322//847915;
D;246;2824967;3;20020702 09:37;P;;;;;;
D;246;2824967;3;20020702 09:37;P;;;;;;
D;246;2824967;3;20020702 09:37;V;;;;;;
D;246;2824967;3;20020702 09:37;V;;;;;;
Z;19;3;4;10;
