A;136;20050628 09:30;PDANN;
B;136;1329071;1;20050628 09:30;;;21;ALICE ST;PADSTOW;2211;504.21;M;20011218;20020125;306000;A;R;RESIDENCE;;ZH;;0;8312247;
C;136;1329071;1;20050628 09:30;34/19002;
D;136;1329071;1;20050628 09:30;P;;;;;;
D;136;1329071;1;20050628 09:30;V;;;;;;
B;136;1329920;2;20050628 09:30;;;8;ANDERSON AVE;PANANIA;2213;657.6;M;20011120;20020115;494000;A;R;RESIDENCE;;ZF;;0;8310771;
C;136;1329920;2;20050628 09:30;D/27672;
D;136;1329920;2;20050628 09:30;P;;;;;;
D;136;1329920;2;20050628 09:30;P;;;;;;
D;136;1329920;2;20050628 09:30;V;;;;;;
D;136;1329920;2;20050628 09:30;V;;;;;;
B;136;1333318;3;20050628 09:30;;;13;BELLEVUE AVE;GEORGES HALL;2198;638.6;M;20010925;20020114;465000;A;R;RESIDENCE;;ZV;;0;8312442;
C;136;1333318;3;20050628 09:30;15/224356;
D;136;1333318;3;20050628 09:30;P;;;;;;
D;136;1333318;3;20050628 09:30;P;;;;;;
D;136;1333318;3;20050628 09:30;V;;;;;;
B;136;1333336;4;20050628 09:30;;37;55;BELLEVUE AVE;GEORGES HALL;2198;;;20011116;20020116;280000;;R;RESIDENCE;37;;;0;8302153;
C;136;1333336;4;20050628 09:30;37/SP61802;
D;136;1333336;4;20050628 09:30;P;;;;;;
D;136;1333336;4;20050628 09:30;V;;;;;;
B;136;1333852;5;20050628 09:30;;;5;BILOELA ST;VILLAWOOD;2163;645;M;20011101;20011219;260000;A;R;RESIDENCE;;ZU;;0;8309320;
C;136;1333852;5;20050628 09:30;652/36612;
D;136;1333852;5;20050628 09:30;P;;;;;;
D;136;1333852;5;20050628 09:30;P;;;;;;
D;136;1333852;5;20050628 09:30;P;;;;;;
D;136;1333852;5;20050628 09:30;V;;;;;;
D;136;1333852;5;20050628 09:30;V;;;;;;
B;136;1334572;6;20050628 09:30;;;117;BORONIA RD;GREENACRE;2190;701.8;M;20010712;20010727;220000;A;R;RESIDENCE;;ZP;;0;7868611;
C;136;1334572;6;20050628 09:30;2/252602;
D;136;1334572;6;20050628 09:30;P;;;;;;
D;136;1334572;6;20050628 09:30;V;;;;;;
D;136;1334572;6;20050628 09:30;V;;;;;;
D;136;1334572;6;20050628 09:30;V;;;;;;
B;136;1335006;7;20050628 09:30;;19;78;BRANCOURT AVE;YAGOONA;2199;;;20011203;20020118;212000;;R;RESIDENCE;19;;;0;8311068;
C;136;1335006;7;20050628 09:30;19/SP60928;
D;136;1335006;7;20050628 09:30;P;;;;;;
D;136;1335006;7;20050628 09:30;V;;;;;;
D;136;1335006;7;20050628 09:30;V;;;;;;
B;136;1335370;8;20050628 09:30;;;93;BRANSGROVE RD;REVESBY;2212;645;M;20011210;20020118;300000;A;R;RESIDENCE;;ZF;;0;8309147;
C;136;1335370;8;20050628 09:30;8/35813;
D;136;1335370;8;20050628 09:30;P;;;;;;
D;136;1335370;8;20050628 09:30;P;;;;;;
D;136;1335370;8;20050628 09:30;V;;;;;;
B;136;1335600;9;20050628 09:30;;;42;BROAD ST;BASS HILL;2197;648.13;M;20011116;20020121;355000;A;R;RESIDENCE;;ZR;;0;8314415;
C;136;1335600;9;20050628 09:30;39/13716;
D;136;1335600;9;20050628 09:30;P;;;;;;
D;136;1335600;9;20050628 09:30;P;;;;;;
D;136;1335600;9;20050628 09:30;V;;;;;;
D;136;1335600;9;20050628 09:30;V;;;;;;
B;136;1336532;10;20050628 09:30;;;14;BURLEY RD;PADSTOW;2211;496.39;M;20011011;20011122;305000;A;R;RESIDENCE;;ZB;;0;8316076;
C;136;1336532;10;20050628 09:30;50/16709;
D;136;1336532;10;20050628 09:30;P;;;;;;
D;136;1336532;10;20050628 09:30;P;;;;;;
D;136;1336532;10;20050628 09:30;V;;;;;;
