A;102;20030501 12:42;PBARBER;
B;102;1105912;1;20030501 12:42;;;9;ALFRED ST;MITTAGONG;2575;602;M;20030221;20030307;380000;A;R;RESIDENCE;;LG;;;9522893;
C;102;1105912;1;20030501 12:42;2//861292;
D;102;1105912;1;20030501 12:42;P;;;;;;
D;102;1105912;1;20030501 12:42;V;;;;;;
D;102;1105912;1;20030501 12:42;V;;;;;;
B;102;1106664;2;20030501 12:42;;5;10;ARTHUR ST;MOSS VALE;2577;;;20021031;20021206;180000;;R;RESIDENCE;5;;;;9523020;
C;102;1106664;2;20030501 12:42;5//SP 8559;
D;102;1106664;2;20030501 12:42;P;;;;;;
D;102;1106664;2;20030501 12:42;P;;;;;;
D;102;1106664;2;20030501 12:42;V;;;;;;
B;102;1106954;3;20030501 12:42;;;;AZALEA ST;COLO VALE;2575;2.434;H;20030312;20030411;110000;R;V;VACANT LAND;;CT;;;9544208;
C;102;1106954;3;20030501 12:42;1//841443;
D;102;1106954;3;20030501 12:42;P;;;;;;
D;102;1106954;3;20030501 12:42;P;;;;;;
D;102;1106954;3;20030501 12:42;P;;;;;;
D;102;1106954;3;20030501 12:42;P;;;;;;
D;102;1106954;3;20030501 12:42;V;;;;;;
D;102;1106954;3;20030501 12:42;V;;;;;;
D;102;1106954;3;20030501 12:42;V;;;;;;
D;102;1106954;3;20030501 12:42;V;;;;;;
B;102;1107059;4;20030501 12:42;;;29;BANKSIA ST;BOWRAL;2576;1012;M;20021213;20030225;375000;A;R;RESIDENCE;;NC;;;9522873;
C;102;1107059;4;20030501 12:42;1//799595;
D;102;1107059;4;20030501 12:42;P;;;;;;
D;102;1107059;4;20030501 12:42;P;;;;;;
D;102;1107059;4;20030501 12:42;V;;;;;;
B;102;1107745;5;20030501 12:42;;;53;BIGGERA ST;BRAEMAR;2575;1113;M;20030228;20030411;340000;Z;R;RESIDENCE;;DH;;;9538949;
C;102;1107745;5;20030501 12:42;32/1/792;
D;102;1107745;5;20030501 12:42;P;;;;;;
D;102;1107745;5;20030501 12:42;P;;;;;;
D;102;1107745;5;20030501 12:42;V;;;;;;
B;102;1107975;6;20030501 12:42;;;;BOARDMAN RD;BOWRAL;2576;803;M;20030108;20030307;400000;A;R;RESIDENCE;;NA;;;9544704;
C;102;1107975;6;20030501 12:42;62//807240;
D;102;1107975;6;20030501 12:42;P;;;;;;
D;102;1107975;6;20030501 12:42;P;;;;;;
D;102;1107975;6;20030501 12:42;V;;;;;;
B;102;1108162;7;20030501 12:42;;4;380;BONG BONG ST;BOWRAL;2576;;;20030222;20030407;560000;;3;SHOP;4;;;;9527930;
C;102;1108162;7;20030501 12:42;4//SP 58139;
