A;072;20020603 09:56;PTHIRLWELL;
B;072;554423;1;20020603 09:56;;;2347;SNOWY MOUNTAINS HWY;BLACK CREEK;2729;32.48;H;20020311;20020422;120000;R;3;FARMLANDS;;TL;;;8566530;
C;072;554423;1;20020603 09:56;1104//757211;
D;072;554423;1;20020603 09:56;P;;;;;;
D;072;554423;1;20020603 09:56;P;;;;;;
D;072;554423;1;20020603 09:56;V;;;;;;
B;072;554841;2;20020603 09:56;;;;TUMUT ST;ADELONG;2729;1012;M;20020410;20020521;75000;A;R;RESIDENCE;;DB;;;8638783;
C;072;554841;2;20020603 09:56;4/22/758009;
D;072;554841;2;20020603 09:56;P;;;;;;
D;072;554841;2;20020603 09:56;V;;;;;;
B;072;554850;3;20020603 09:56;;;;VYNER ST;ADELONG;2729;2023;M;20020418;20020508;75500;A;R;RESIDENCE;;DC;;;8626393;
C;072;554850;3;20020603 09:56;6/29/758009;
D;072;554850;3;20020603 09:56;P;;;;;;
D;072;554850;3;20020603 09:56;P;;;;;;
D;072;554850;3;20020603 09:56;V;;;;;;
B;072;555163;4;20020603 09:56;;;;BARTLETT ST;BATLOW;2730;;;20020311;20020507;52000;A;R;RESIDENCE;;DP;;;8636101;
C;072;555163;4;20020603 09:56;1//561316;
D;072;555163;4;20020603 09:56;P;;;;;;
D;072;555163;4;20020603 09:56;V;;;;;;
B;072;555213;5;20020603 09:56;;;;BIRCH ST;BATLOW;2730;771.4;M;20020307;20020429;50000;A;R;RESIDENCE;;DJ;;;8577383;
C;072;555213;5;20020603 09:56;2//536809;
D;072;555213;5;20020603 09:56;P;;;;;;
D;072;555213;5;20020603 09:56;V;;;;;;
B;072;555463;6;20020603 09:56;;;;NELIS ST;BATLOW;2730;575.4;M;20020328;20020503;65000;A;3;;;DJ;;;8587013;
C;072;555463;6;20020603 09:56;2//537436;
D;072;555463;6;20020603 09:56;P;;;;;;
D;072;555463;6;20020603 09:56;V;;;;;;
D;072;555463;6;20020603 09:56;V;;;;;;
B;072;556787;7;20020603 09:56;;;224;BACK KUNAMA RD;KUNAMA;2730;19.73;H;20020422;20020506;135000;R;R;RESIDENCE;;RY;;;8592484;
C;072;556787;7;20020603 09:56;46//757247;
D;072;556787;7;20020603 09:56;P;;;;;;
D;072;556787;7;20020603 09:56;P;;;;;;
D;072;556787;7;20020603 09:56;V;;;;;;
B;072;556897;8;20020603 09:56;;;35;BOWMAN ST;TALBINGO;2720;695.5;M;20020328;20020429;78000;A;R;RESIDENCE;;DU;;;8553736;
C;072;556897;8;20020603 09:56;17//238759;
D;072;556897;8;20020603 09:56;P;;;;;;
D;072;556897;8;20020603 09:56;P;;;;;;
D;072;556897;8;20020603 09:56;V;;;;;;
